URL,Status Code,Status,Content Type,Size (Bytes),Response Time (ms),Title,Title Length,Meta Description,Desc Length,H1,H1 Length,Word Count,Canonical URL,Meta Robots,Inlinks,Outlinks,Issues
https://writeoffcalc.com,200,Success,text/html,39451,515,Free Tax Write Off Calculator 2026 | Small Business & Section 179,65,"Calculate your small business tax write offs instantly. Includes 2026 Standard Mileage Rates, Section 179 SUV deductions, and self-employment tax estimator.",156,,0,948,,,0,18,Page Titles: Over 60 Characters; Meta Description: Over 155 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data; Page Titles: Duplicate; Meta Description: Duplicate
https://writeoffcalc.com/,200,Success,text/html,39451,10,Free Tax Write Off Calculator 2026 | Small Business & Section 179,65,"Calculate your small business tax write offs instantly. Includes 2026 Standard Mileage Rates, Section 179 SUV deductions, and self-employment tax estimator.",156,,0,948,,,128,18,Page Titles: Over 60 Characters; Meta Description: Over 155 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data; Page Titles: Duplicate; Meta Description: Duplicate
https://writeoffcalc.com/about,200,Success,text/html,31652,279,"Write Off Calculator | US Tax, Auto & Debt Tools",48,"Professional calculators for tax deductions, car insurance total loss, and debt forgiveness.",92,Precision in every calculation.,31,790,,,84,19,Canonicals: Missing; Schema: Missing Structured Data; Images: Missing Size Attributes; Page Titles: Duplicate; Meta Description: Duplicate
https://writeoffcalc.com/blog,200,Success,text/html,135372,333,Tax & Insurance Blog | Expert Guides for 2026 | Write Off Calculator,68,"Expert advice on tax write-offs, insurance total loss disputes, and mileage deductions. Read our latest guides.",111,Financial Wisdombase,20,4537,,,67,44,Page Titles: Over 60 Characters; H2: Multiple (High Count); Canonicals: Missing; Schema: Missing Structured Data; Images: Missing Size Attributes
https://writeoffcalc.com/mileage-write-off-calculator,200,Success,text/html,28559,271,Mileage Write Off Calculator 2026 | Standard Rate vs Actual | Write Off Calculator,82,Calculate your work mileage deduction using the 2026 IRS Standard Mileage Rate (70 cents/mile) or compare it against actual vehicle expenses.,141,,0,728,,,43,18,Page Titles: Over 60 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data
https://writeoffcalc.com/car-write-off-calculator,200,Success,text/html,28293,533,Car Write Off Calculator | Total Loss Value & Insurance Check | Write Off Calculator,84,Is your car a total loss? Use our free write-off calculator to estimate insurance payouts and check if repair costs exceed the threshold.,137,,0,758,,,47,18,Page Titles: Over 60 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data
https://writeoffcalc.com/debt-write-off-calculator,200,Success,text/html,27959,289,Debt Write Off Calculator | Debt Forgiveness & Settlement Estimator | Write Off Calculator,90,Estimate how much debt you could write off through settlement or forgiveness. Check eligibility based on financial hardship.,124,,0,720,,,42,18,Page Titles: Over 60 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data
https://writeoffcalc.com/teacher-write-off-calculator,200,Success,text/html,28421,290,Teacher Tax Draw Calculator 2026 | Educator Expense Deduction | Write Off Calculator,84,Calculate your educator expense deduction for 2026 taxes. Updated with the inflation-adjusted $300+ limit and standard deduction rules.,135,,0,712,,,43,18,Page Titles: Over 60 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data
https://writeoffcalc.com/farm-write-off-calculator,200,Success,text/html,28442,279,Farm Write Off Calculator 2026 | Schedule F & Section 179 | Write Off Calculator,80,Calculate your farm tax write-offs for 2026. Includes the Section 179 limit updates and Bonus Depreciation phase-down rules.,124,,0,701,,,42,18,Page Titles: Over 60 Characters; H1: Missing; Canonicals: Missing; Headings: H2 with Missing H1; Schema: Missing Structured Data
https://writeoffcalc.com/section-179-guide,200,Success,text/html,42443,250,Section 179 Vehicle List 2026 | Heavy SUV & Truck Deduction Guide | Write Off Calculator,88,"Complete guide to Section 179 limits for 2026. Learn how to write off G-Wagons, Trucks, and heavy SUVs over 6,000 lbs with 100% Bonus Depreciation.",147,Section 179 Vehicle Guide (2026 Edition),40,1360,,,42,20,Page Titles: Over 60 Characters; Canonicals: Missing; Schema: Missing Structured Data
https://writeoffcalc.com/mileage-rates-2026,200,Success,text/html,37546,300,IRS Standard Mileage Rates 2026 | Business Mileage Guide | Write Off Calculator,79,"Official IRS Standard Mileage Rates for 2026. Learn the 70 cents/mile business rate, commuting rules, and how to keep a compliant mileage log.",142,IRS Mileage Rates 2026,22,1069,,,42,19,Page Titles: Over 60 Characters; Canonicals: Missing; Schema: Missing Structured Data
https://writeoffcalc.com/total-loss-faq,200,Success,text/html,32689,280,Total Loss FAQ | Car Insurance Write-Off Thresholds by State | Write Off Calculator,83,"What happens when your car is totaled? Learn the Total Loss Formula (TLF), Actual Cash Value (ACV) negotiation, and state thresholds.",133,Total Loss Survival Guide,25,1032,,,42,19,Page Titles: Over 60 Characters; Canonicals: Missing; Schema: Missing Structured Data
