URL,Title,Description,H1,WordCount,Issues
"https://writeoffcalc.com","Free Tax Write Off Calculator 2026 | Small Business & Section 179","Calculate your small business tax write offs instantly. Includes 2026 Standard Mileage Rates, Section 179 SUV deductions, and self-employment tax estimator.","",948,"Page Titles: Over 60 Characters; Meta Description: Over 155 Characters; Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/","Free Tax Write Off Calculator 2026 | Small Business & Section 179","Calculate your small business tax write offs instantly. Includes 2026 Standard Mileage Rates, Section 179 SUV deductions, and self-employment tax estimator.","",948,"Page Titles: Over 60 Characters; Meta Description: Over 155 Characters; Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/about","Write Off Calculator | US Tax, Auto & Debt Tools","Professional calculators for tax deductions, car insurance total loss, and debt forgiveness.","Precision in every calculation.",790,"Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; Canonicals: Missing"
"https://writeoffcalc.com/blog","Tax & Insurance Blog | Expert Guides for 2026 | Write Off Calculator","Expert advice on tax write-offs, insurance total loss disputes, and mileage deductions. Read our latest guides.","Financial Wisdombase",4537,"Page Titles: Over 60 Characters; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H2: Multiple (High Count); Canonicals: Missing"
"https://writeoffcalc.com/mileage-write-off-calculator","Mileage Write Off Calculator 2026 | Standard Rate vs Actual | Write Off Calculator","Calculate your work mileage deduction using the 2026 IRS Standard Mileage Rate (70 cents/mile) or compare it against actual vehicle expenses.","",728,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/car-write-off-calculator","Car Write Off Calculator | Total Loss Value & Insurance Check | Write Off Calculator","Is your car a total loss? Use our free write-off calculator to estimate insurance payouts and check if repair costs exceed the threshold.","",758,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/debt-write-off-calculator","Debt Write Off Calculator | Debt Forgiveness & Settlement Estimator | Write Off Calculator","Estimate how much debt you could write off through settlement or forgiveness. Check eligibility based on financial hardship.","",720,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/teacher-write-off-calculator","Teacher Tax Draw Calculator 2026 | Educator Expense Deduction | Write Off Calculator","Calculate your educator expense deduction for 2026 taxes. Updated with the inflation-adjusted $300+ limit and standard deduction rules.","",712,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/farm-write-off-calculator","Farm Write Off Calculator 2026 | Schedule F & Section 179 | Write Off Calculator","Calculate your farm tax write-offs for 2026. Includes the Section 179 limit updates and Bonus Depreciation phase-down rules.","",701,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; H1: Missing; Canonicals: Missing"
"https://writeoffcalc.com/section-179-guide","Section 179 Vehicle List 2026 | Heavy SUV & Truck Deduction Guide | Write Off Calculator","Complete guide to Section 179 limits for 2026. Learn how to write off G-Wagons, Trucks, and heavy SUVs over 6,000 lbs with 100% Bonus Depreciation.","Section 179 Vehicle Guide (2026 Edition)",1360,"Page Titles: Over 60 Characters; Page Titles: Over 580 Pixels (Truncated); Meta Description: Over 990 Pixels; Security: Missing HSTS Header; Security: Missing Content-Security-Policy Header; Security: Missing X-Frame-Options Header; Security: Missing X-Content-Type-Options Header; Security: Missing Secure Referrer-Policy Header; Canonicals: Missing"
